"tick","Zombie Count","Human Count"
1.0,7,198
2.0,7,198
3.0,7,198
4.0,7,198
5.0,7,198
6.0,8,197
7.0,8,197
8.0,8,197
9.0,8,197
10.0,8,197
11.0,9,196
12.0,9,196
13.0,9,196
14.0,10,195
15.0,10,195
16.0,11,194
17.0,12,193
18.0,12,193
19.0,12,193
20.0,12,193
21.0,12,193
22.0,12,193
23.0,12,193
24.0,12,193
25.0,12,193
26.0,12,193
27.0,13,192
28.0,13,192
29.0,13,192
30.0,13,192
31.0,14,191
32.0,14,191
33.0,14,191
34.0,15,190
35.0,16,189
36.0,16,189
37.0,16,189
38.0,16,189
39.0,16,189
40.0,16,189
41.0,16,189
42.0,16,189
43.0,17,188
44.0,17,188
45.0,17,188
46.0,19,186
47.0,20,185
48.0,25,180
49.0,25,180
50.0,27,178
51.0,27,178
52.0,29,176
53.0,29,176
54.0,29,176
55.0,29,176
56.0,29,176
57.0,30,175
58.0,31,174
59.0,31,174
60.0,31,174
61.0,34,171
62.0,36,169
63.0,38,167
64.0,39,166
65.0,42,163
66.0,44,161
67.0,45,160
68.0,46,159
69.0,47,158
70.0,50,155
71.0,51,154
72.0,51,154
73.0,52,153
74.0,54,151
75.0,57,148
76.0,57,148
77.0,59,146
78.0,62,143
79.0,64,141
80.0,65,140
81.0,65,140
82.0,69,136
83.0,72,133
84.0,73,132
85.0,75,130
86.0,79,126
87.0,80,125
88.0,81,124
89.0,83,122
90.0,85,120
91.0,87,118
92.0,91,114
93.0,93,112
94.0,94,111
95.0,95,110
96.0,97,108
97.0,98,107
98.0,100,105
99.0,104,101
100.0,107,98
101.0,112,93
102.0,112,93
103.0,113,92
104.0,114,91
105.0,114,91
106.0,117,88
107.0,119,86
108.0,122,83
109.0,123,82
110.0,123,82
111.0,128,77
112.0,132,73
113.0,135,70
114.0,138,67
115.0,141,64
116.0,142,63
117.0,143,62
118.0,143,62
119.0,144,61
120.0,147,58
121.0,150,55
122.0,153,52
123.0,156,49
124.0,159,46
125.0,160,45
126.0,162,43
127.0,163,42
128.0,165,40
129.0,166,39
130.0,169,36
131.0,169,36
132.0,171,34
133.0,171,34
134.0,171,34
135.0,172,33
136.0,173,32
137.0,174,31
138.0,176,29
139.0,177,28
140.0,178,27
141.0,180,25
142.0,182,23
143.0,184,21
144.0,184,21
145.0,185,20
146.0,187,18
147.0,187,18
148.0,187,18
149.0,188,17
150.0,190,15
151.0,191,14
152.0,194,11
153.0,195,10
154.0,196,9
155.0,196,9
156.0,196,9
157.0,196,9
158.0,196,9
159.0,198,7
160.0,199,6
161.0,200,5
162.0,201,4
163.0,201,4
164.0,202,3
165.0,202,3
166.0,202,3
167.0,202,3
168.0,202,3
169.0,202,3
170.0,202,3
171.0,202,3
172.0,202,3
173.0,202,3
174.0,202,3
175.0,202,3
176.0,202,3
177.0,202,3
178.0,202,3
179.0,203,2
180.0,203,2
181.0,204,1
182.0,204,1
183.0,204,1
184.0,205,0
185.0,205,0
186.0,205,0
187.0,205,0
188.0,205,0
189.0,205,0
190.0,205,0
191.0,205,0
192.0,205,0
193.0,205,0
194.0,205,0
195.0,205,0
196.0,205,0
197.0,205,0
198.0,205,0
199.0,205,0
200.0,205,0
201.0,205,0
202.0,205,0
203.0,205,0
204.0,205,0
205.0,205,0
206.0,205,0
207.0,205,0
208.0,205,0
209.0,205,0
210.0,205,0
211.0,205,0
212.0,205,0
213.0,205,0
214.0,205,0
215.0,205,0
216.0,205,0
217.0,205,0
218.0,205,0
219.0,205,0
220.0,205,0
221.0,205,0
222.0,205,0
223.0,205,0
224.0,205,0
225.0,205,0
226.0,205,0
227.0,205,0
228.0,205,0
229.0,205,0
230.0,205,0
231.0,205,0
232.0,205,0
233.0,205,0
234.0,205,0
235.0,205,0
236.0,205,0
237.0,205,0
238.0,205,0
239.0,205,0
240.0,205,0
241.0,205,0
242.0,205,0
243.0,205,0
244.0,205,0
245.0,205,0
246.0,205,0
247.0,205,0
248.0,205,0
249.0,205,0
250.0,205,0
251.0,205,0
252.0,205,0
253.0,205,0
254.0,205,0
255.0,205,0
256.0,205,0
257.0,205,0
258.0,205,0
259.0,205,0
260.0,205,0
261.0,205,0
262.0,205,0
263.0,205,0
264.0,205,0
265.0,205,0
266.0,205,0
267.0,205,0
268.0,205,0
269.0,205,0
270.0,205,0
271.0,205,0
272.0,205,0
273.0,205,0
274.0,205,0
275.0,205,0
276.0,205,0
277.0,205,0
278.0,205,0
279.0,205,0
280.0,205,0
281.0,205,0
282.0,205,0
283.0,205,0
